id,artistName,endTime,msPlayed,trackName
2204,SRTW,2023-11-23 20:01:00,36858,Last Train Home
2205,Kris Bowers,2023-11-23 20:05:00,213920,A Grand Finish
2206,John Debney,2023-11-23 20:06:00,65720,A New Mia - Score
2207,Stuart Earl,2023-11-23 20:08:00,87949,Clifftop Prelude
2208,William Ross,2023-11-23 20:10:00,120960,A King's Sadness
2209,Ari Posner,2023-11-23 20:11:00,61826,Kindred Spirits
2210,Kris Bowers,2023-11-23 20:12:00,74885,Game Over - From the Netflix Series “Bridgerton Season Two”
2211,Stephen Warbeck,2023-11-23 20:13:00,70313,Alone
2212,Fernando Velázquez,2023-11-23 20:15:00,95280,Big Dreams
2213,Carlos Rafael Rivera,2023-11-23 20:16:00,66447,You're Gloating
2214,Steve Horner,2023-11-23 20:19:00,189229,Diamonds
2215,Ari Posner,2023-11-23 20:20:00,76453,Passage Of Time
2216,Kris Bowers,2023-11-23 20:20:00,2974,Call Me Simon
2217,William Ross,2023-11-23 20:21:00,62373,Young Macy
2218,Jordan Seigel,2023-11-23 20:23:00,79640,Eloise
2219,Steven Price,2023-11-23 20:24:00,77880,You Stop My Heart
2220,Carlos Rafael Rivera,2023-11-23 20:26:00,137454,Ceiling Games
2221,Kris Bowers,2023-11-23 20:26:00,3138,A Gift For Edwina - From the Netflix Series “Bridgerton Season Two”
2222,Ari Posner,2023-11-23 20:26:00,1462,Dearest Diana
2223,Jóhann Jóhannsson,2023-11-23 20:28:00,101429,A Normal Family
2224,Jordan Seigel,2023-11-23 20:30:00,127841,One More Journey
2225,Antonio Pinto,2023-11-23 20:32:00,83760,One Strange World
2226,Drum & Lace,2023-11-23 20:33:00,98037,Don't Meet Your Heroes
2227,Kris Bowers,2023-11-23 20:34:00,70187,They Are Betrothed - From the Netflix Series “Bridgerton Season Two”
2228,Ari Posner,2023-11-23 20:35:00,63333,Forbidden To Fraternize
2229,Guy Farley,2023-11-23 20:38:00,135935,A Guilded Cage
2230,Mark McKenzie,2023-11-23 20:39:00,80840,Those Arms Are For You
2231,Peter Gregson,2023-11-23 20:41:00,101653,From Paris to the Aquaduct
2232,Steve Horner,2023-11-23 20:43:00,126171,Awakening
2233,Kris Bowers,2023-11-23 20:43:00,2711,Eloise & Theo - From the Netflix Series “Bridgerton Season Two”
2234,Johannes Bornlöf,2023-11-23 20:45:00,136500,Flight
2235,John Debney,2023-11-23 20:46:00,56306,Main Titles - Princess Diaries Score
2236,Fernando Velázquez,2023-11-23 20:48:00,132840,I Wish I Had a Hundred Years
2237,Jan A.P. Kaczmarek,2023-11-23 20:49:00,52640,The Second Dance
2238,Amelia Warner,2023-11-23 20:50:00,59000,Lost In Darkness And Distance
2239,Steve Horner,2023-11-23 20:52:00,110379,Brilliant Day
2240,Kris Bowers,2023-11-23 20:54:00,94520,The Latest Whistledown
2241,Jóhann Jóhannsson,2023-11-23 20:55:00,102057,Rowing
2242,Marco Beltrami,2023-11-23 20:57:00,90360,First Memory
2243,Torin Borrowdale,2023-11-23 20:58:00,66684,Welcome to Matheson
2244,Ari Posner,2023-11-23 20:59:00,79013,Make Your Own Decision
2245,Kris Bowers,2023-11-23 21:00:00,10240,Lord Bridgerton Stung - From the Netflix Series “Bridgerton Season Two”
2246,Guy Farley,2023-11-23 21:02:00,135530,Miss Jackson
2247,Rupert Gregson-Williams,2023-11-23 21:03:00,99613,Where Does That Leave Me?
2248,Johan Söderqvist,2023-11-23 21:05:00,81146,Thor and Liv
2249,Jóhann Jóhannsson,2023-11-23 21:07:00,112555,The Whirling Ways of Stars that Pass
2250,Mychael Danna,2023-11-23 21:09:00,106586,Wish I Could Spend The Day With You
2251,Kris Bowers,2023-11-23 21:09:00,5506,Newlyweds - From the Netflix Series “Bridgerton Season Two”
2252,Guy Farley,2023-11-23 21:10:00,107429,Family
2253,James Newton Howard,2023-11-23 21:12:00,87306,The Train
2254,Amelia Warner,2023-11-23 21:13:00,74684,None Of This Will Matter At All
2255,John Debney,2023-11-23 21:14:00,65720,A New Mia - Score
2256,Stuart Earl,2023-11-23 21:16:00,87949,Clifftop Prelude
